year,economic_lifetime_yrs,loan_term_yrs_res,loan_interest_rate_res,down_payment_fraction_res,real_discount_rate_res,tax_rate_res,loan_term_yrs_nonres,loan_interest_rate_nonres,down_payment_fraction_nonres,real_discount_rate_nonres,tax_rate_nonres
2014,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2015,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2016,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2017,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2018,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2019,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2020,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2021,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2022,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2023,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2024,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2025,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2026,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2027,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2028,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2029,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2030,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2031,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2032,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2033,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2034,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2035,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2036,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2037,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2038,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2039,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2040,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2041,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2042,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2043,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2044,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2045,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2046,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2047,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2048,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2049,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
2050,25,20,0.07,0.5,0.05,0.2574,30,0.043902439,1,0.037804845,0.2574
