state_abbr,metric,q2_24,q3_24,q4_24,q1_25
AR,attachment_rate,0.006228223,0.004694836,0.003478261,0
AZ,attachment_rate,0.078428466,0.131520543,0.225010284,0.412927475
CA,attachment_rate,0.583312978,0.683614619,0.653536148,0.723044158
CO,attachment_rate,0.068280801,0.100784361,0.080514727,0.097631089
CT,attachment_rate,0.047891645,0.071764092,0.051909502,0.053785304
DC,attachment_rate,0,0.0011875,0.00394712,0.00521978
DE,attachment_rate,0,0,0,0.109742898
FL,attachment_rate,0.040149795,0.046098314,0.085371819,0.103794944
GA,attachment_rate,0.032448378,0.055401662,0.11299435,0.258823529
HI,attachment_rate,0.820920327,0.987074896,0.934338931,0.775674194
IA,attachment_rate,0.017379403,0.010416667,0.01108545,0.01025641
ID,attachment_rate,0.149568345,0.201152993,0.090292208,0.092416107
IL,attachment_rate,0.005632559,0.010420026,0.043196771,0.169779466
IN,attachment_rate,0.010847458,0.012273973,0.011743119,0.015609756
KY,attachment_rate,0.022580645,0.021212121,0.090494297,0.03559322
LA,attachment_rate,0.012097222,0.021450094,0.038789474,0.071276596
MA,attachment_rate,0.016263137,0.022898747,0.022384799,0.029462863
MD,attachment_rate,0.011045898,0.036283557,0.028447479,0.038078893
ME,attachment_rate,0.016835249,0.009910494,0.021653125,0.010270718
MI,attachment_rate,0.087701587,0.042103652,0.048402135,0.085053267
MN,attachment_rate,0.01189387,0.021854305,0.024174802,0.048946295
MO,attachment_rate,0.006135511,0.007669389,0.005264253,0.008981538
MT,attachment_rate,0.020495172,0.031851831,0.070232558,0
NC,attachment_rate,0.048181221,0.144400072,0.096820869,0.081054094
NH,attachment_rate,0.089430699,0.116504854,0.061814399,0.387735849
NJ,attachment_rate,0.026890725,0.017360356,0.028045258,0.06157347
NM,attachment_rate,0.004428551,0.010151748,0.007482663,0.01426159
NV,attachment_rate,0.038235817,0.033530572,0.035161052,0.051718272
NY,attachment_rate,0.0502998,0.048467569,0.049199274,0
OH,attachment_rate,0.028451001,0.009205984,0.017416742,0.035606061
OK,attachment_rate,0.010545172,0.001763668,0.013016314,0.014240506
OR,attachment_rate,0.087799017,0.079953281,0.109732877,0.155118177
PA,attachment_rate,0.010437889,0.012660931,0.010877608,0.030378699
RI,attachment_rate,0.00936862,0.008445328,0.028207171,0.023183879
SC,attachment_rate,0.04347032,0.077223975,0.127745665,0.081349693
TN,attachment_rate,0.020454545,0.122142857,0.051428571,0.064285714
TX,attachment_rate,0.138487808,0.252658389,0.381846467,0.461117411
UT,attachment_rate,0.532678324,0.760213292,0.64185123,0.645490399
VA,attachment_rate,0.026943349,0.0441937,0.053339745,0.038650367
VT,attachment_rate,0.946943973,0.58545096,0.619404926,0.648705347
WA,attachment_rate,0.081206179,0.080939363,0.122472105,0.196884735
WI,attachment_rate,0.008196721,0.122916667,0.112,0.631034483
WV,attachment_rate,0.129089647,0.157625253,0.194805221,0.106159249
WY,attachment_rate,0.039124839,0.054545455,0.113142857,0.5175
AZ,install_volume,417,426,616,1094
AR,install_volume,4,4,4,2
CA,install_volume,23598,23827,30650,31155
CO,install_volume,161,343,588,420
CT,install_volume,218,192,275,200
DE,install_volume,0,0,0,0
FL,install_volume,221,431,527,932
GA,install_volume,21,11,20,40
HI,install_volume,1507,1537,1670,1778
ID,install_volume,102,154,224,103
IL,install_volume,54,50,80,510
IN,install_volume,5,5,7,5
IA,install_volume,4,6,5,8
KY,install_volume,13,14,6,34
LA,install_volume,0,13,34,33
ME,install_volume,14,26,19,41
MD,install_volume,42,23,73,69
MA,install_volume,96,107,177,178
MI,install_volume,62,92,59,78
MN,install_volume,27,13,33,52
MO,install_volume,5,8,12,10
MT,install_volume,112,11,21,56
NE,install_volume,0,0,0,0
NV,install_volume,256,215,153,143
NH,install_volume,91,73,96,53
NJ,install_volume,78,89,85,121
NM,install_volume,6,9,17,10
NY,install_volume,304,302,272,298
NC,install_volume,48,125,301,215
OH,install_volume,77,60,24,43
OK,install_volume,12,12,2,12
OR,install_volume,116,227,249,333
PA,install_volume,20,28,41,36
PR,install_volume,6988,8082,8507,11193
RI,install_volume,6,7,6,20
SC,install_volume,33,28,36,65
TN,install_volume,13,5,19,8
TX,install_volume,879,1239,2429,3245
UT,install_volume,485,759,679,572
VT,install_volume,0,0,0,0
VA,install_volume,43,45,94,105
WA,install_volume,121,173,185,256
DC,install_volume,0,0,1,4
WV,install_volume,23,19,24,35
WY,install_volume,23,8,10,11
