year,price_pv,price_batt
2026,3898.8,1199.3
2027,3608.92,1159.37
2028,3319.04,1119.44
2029,3029.16,1079.51
2030,2739.28,1039.58
2031,2449.4,999.65
2032,2159.52,959.72
2033,1869.64,919.79
2034,1579.76,879.86
2035,1289.88,839.93
2036,1000.0,800.0
2037,980.0,760.0
2038,960.4,722.0
2039,941.19,685.9
2040,922.37,651.6
2041,903.92,619.02
2042,885.84,588.07
2043,868.13,558.67
2044,850.76,530.74
2045,833.75,504.2
2046,817.07,478.99
2047,800.73,455.04
2048,784.72,432.29
2049,769.02,410.67
2050,753.64,390.14
