,state_abbr,load_gwh
0,AL,26996.55071
1,AR,18306.95461
2,AZ,32927.50102
3,CA,79745.76323
4,CO,20235.48967
5,CT,11978.04823
7,DE,3625.279175
8,FL,81102.35979
9,GA,46574.7365
10,IA,13849.97214
11,ID,8926.734838
12,IL,37601.57404
13,IN,26175.7911
14,KS,12656.65616
15,KY,23683.02459
16,LA,22796.88227
17,MA,19959.40708
18,MD,17878.58809
19,ME,6915.094759
20,MI,35671.54339
21,MN,20691.90773
22,MO,30780.52536
23,MS,16825.92569
24,MT,5449.110927
25,NC,57397.65532
26,ND,4196.190158
27,NE,8824.064849
28,NH,5495.104572
29,NJ,22557.7464
30,NM,9696.769299
31,NV,11538.72364
32,NY,41760.78592
33,OH,43714.37703
34,OK,20846.96631
35,OR,20981.57455
36,PA,42591.49332
37,RI,3139.913452
38,SC,26075.54451
39,SD,4125.539988
40,TN,35686.21182
41,TX,114713.0154
42,UT,9380.16017
43,VA,36110.8282
44,VT,3170.963603
45,WA,37822.49607
46,WI,21292.69789
47,WV,10996.34701
48,WY,2651.947039
